score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings
3,False,38.23529411764706,False,False,True,True,0.4289494146914301,4390.0,4390.0,303961675.0,303.961675,5282.16650390625,0.8310983754021237,-0.16890162459787628,-0.07523220650146123,102.50098046680878,2.334874270314551,-0.0767613038906414,-0.16890162459787628,35.1857036940604,15.18429582783251,32.45399612521102,,2,trend_break;di_bear,True,False,False,False,False,False,True,False,False,1301.T,,4390.0,7.6232486,0.6742176,575.87,6511.251,52141273088.0,,1754274600.0,1754620200.0,True,,,True,1754274600.0,2025-08-04,-209.0
4,True,60.46901172529313,False,False,True,True,0.26765971343504735,4166.0,4166.0,922680895.5,922.6808955,4199.0,0.9921409859490354,-0.11398467432950188,0.14383616180641545,69.24745269504923,1.662204817451974,-0.007859014050964563,-0.007859014050964563,13.875177783519687,26.605046154921087,21.762722165163915,fund_small_mcap,0,,False,False,False,False,False,False,False,False,False,1305.T,,4166.0,18.422003,,226.14262,,,,,,True,,,False,,,
0,False,60.580198468392695,False,False,True,True,0.47518570529893567,412.3999938964844,412.3999938964844,6747775433.695374,6747.775433695374,4131.0,0.09983054802626104,-0.9100944096111149,-0.860644770068774,31.177664463002255,7.560054540356781,-0.007938460942126135,-0.900169451973739,73.48782677787037,11.053691635141332,69.55506902994946,fund_small_mcap,2,trend_break;di_bear,True,False,False,False,False,False,True,False,False,1306.T,,412.4,18.471931,,22.325766,,,,,,True,,,False,,,
4,True,60.831889081455806,False,False,False,True,0.26816873789872203,4077.0,4077.0,1037716149.05,1037.71614905,4108.0,0.9924537487828627,-0.11698482623592754,0.14459294237871512,68.914450971132,1.6903225649039,-0.0075462512171372564,-0.0075462512171372564,14.048707539625292,26.031403665709952,21.68521768835357,fund_small_mcap,0,,False,False,False,False,False,False,False,False,False,1308.T,,4077.0,18.43302,,221.17917,,,,,,True,,,False,,,
6,True,49.01129943502825,False,False,True,True,0.37818010589286166,54130.0,54130.0,6108580.5,6.1085805,57490.0,0.9415550530527048,-0.45868945868945865,0.03265462634232685,889.5806589508636,1.6434152206740507,-0.038543516873889905,-0.038543516873889905,12.52101567776135,23.873818507580605,24.322235696293617,"fund_low_adv20,fund_small_mcap",1,macd_sell_like,False,False,True,False,False,False,False,False,False,1309.T,,54130.0,13.699792,,3951.1548,,,,,,True,,,False,,,
5,True,61.373390557939906,True,False,True,True,0.26859606762616567,2036.0,2036.0,40269354.65,40.26935465,2039.0,0.9985286905345758,-0.10214250124564028,0.13292378917378933,35.329573946210274,1.7352442999120958,-0.0014713094654241754,-0.0014713094654241754,18.382457556488735,27.776321633120414,17.467236406963234,"fund_low_adv20,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1311.T,,2036.0,18.987038,,107.23105,,,,,,True,,,False,,,
5,True,73.3263530207941,True,False,True,True,0.20651379429164265,730.0,730.0,1430014.9963378906,1.4300149963378905,734.2999877929688,0.9941440993266351,-0.09737164808473209,0.1276360442509994,8.635566329985638,1.1829542917788545,0.0,-0.005855900673364944,16.435995217782146,59.75737717041032,33.94127257007983,"fund_low_adv20,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1319.T,,730.0,19.286253,,37.850796,,,,,,True,,,False,,,
4,True,63.338414634146346,False,False,True,True,0.29708805664648624,65960.0,65960.0,2848136993.0,2848.136993,65960.0,1.0,-0.12551271534044295,0.2489254620986341,1441.7478129752365,2.185791105177739,0.0,0.0,36.43353726319834,38.29542467244412,18.886963938943037,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1320.T,,65960.0,24.475397,,2694.9512,,,,,,True,,,False,,,
4,True,63.841368584758946,False,False,True,True,0.2973263315456265,66210.0,66210.0,23298583549.5,23298.5835495,66210.0,1.0,-0.125,0.24910623157044776,1444.741071348872,2.1820587091811996,0.0,0.0,36.4141919546041,38.455126981918276,18.80290078420847,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1321.T,,66210.0,24.466368,,2706.1638,,,,,,True,,,False,,,
5,True,59.42028985507247,False,False,True,True,0.3765614275281717,12095.0,12095.0,10016377.25,10.01637725,12335.0,0.9805431698419133,-0.4462975778546713,0.12151699197922938,248.87859955903326,2.0576982187600934,-0.019456830158086746,-0.019456830158086746,29.75898690925333,28.46366840615186,14.659239852253197,"fund_low_adv20,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1322.T,,12095.0,16.06869,,752.70605,,,,,,True,,,False,,,
4,True,29.675438306864336,False,False,True,True,0.2870957896438204,311.0,311.0,16142430.480102539,16.14243048010254,351.8999938964844,0.8837738147034023,-0.14180163331052242,0.16975561504019088,7.9733834975930185,2.5637889059784627,-0.10913779844569282,-0.11622618529659767,26.20762264447583,21.716415315102918,30.9323505941835,"fund_low_adv20,fund_small_mcap",2,trailing_stop;di_bear,False,False,False,False,True,False,True,False,False,1325.T,,311.0,11.140985,,27.914948,,,,,,True,,,False,,,
5,True,41.316073354908305,False,False,True,True,0.08057203186763669,66080.0,66080.0,876403940.5,876.4039405,78570.0,0.8410334733358789,-0.9935746394210125,0.12361121279135778,1152.158907602712,1.7435818819653632,-0.05207287333237698,-0.14867302241690283,15.835837780328369,25.718864865131717,38.4971704173424,"fund_neg_eps,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1326.T,,66080.0,-56.877406293870614,388.66702,-1161.797,170.017,,,,,True,,,False,,,
5,True,41.61490683229814,False,False,True,True,0.44033988109534966,17040.0,17040.0,599293577.5,599.2935775,20285.0,0.8400295785062855,-0.20236628050283456,0.07593757794075384,292.05299982271526,1.7139260552976248,-0.052543786488740585,-0.14970059880239517,18.695829182244694,24.096050404140424,37.996768265327574,"fund_neg_eps,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1328.T,,17040.0,,,,,,,,,True,,,False,,,
4,True,62.89592760180995,False,False,True,True,0.2963599075587626,6583.0,6583.0,4542788146.55,4542.78814655,6589.0,0.9990893914099256,-0.12465055089623422,0.2488377641244175,145.5789877488763,2.211438367748387,-0.0009106085900744132,-0.0009106085900744132,36.240170308029874,37.87819933630889,18.718853208069458,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1329.T,,6583.0,24.458164,,269.15347,,,,,,True,,,False,,,
4,True,63.8739431206764,False,False,False,True,0.2978925288002082,66380.0,66380.0,3054906752.0,3054.906752,66380.0,1.0,-0.12450980392156863,0.2507819742683357,1441.52104582728,2.171619532731666,0.0,0.0,36.35543329137918,38.99246172757616,18.86031195585156,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1330.T,,66380.0,24.502048,,2709.1611,,,,,,True,,,False,,,
5,True,59.33734939759036,False,False,True,False,0.4698434261137635,1298.5,1298.5,2393185757.5,2393.1857575,1539.71826171875,0.8433361039379478,-0.23005394592342154,0.09968260205958046,42.6460872824604,3.28425778070546,-0.04662261380323052,-0.15666389606205222,26.258637335357122,23.53029558757323,22.49524560932319,,0,,False,False,False,False,False,False,False,False,False,1332.T,,1298.5,14.39898,1.3121411,90.18,989.604,393798483968.0,1785997800.0,1785997800.0,1785997800.0,True,,,True,1785997800.0,2026-08-06,54.0
