holding_days,trades,wins,losses,win_rate_pct,average_return_pct,median_return_pct,average_win_pct,average_loss_pct,profit_factor,best_return_pct,worst_return_pct,average_mfe_pct,median_mfe_pct,average_mae_pct,median_mae_pct
5,167,77,89,46.10778443113773,-0.27718005323444,-0.24110910186859735,2.8523667104926655,-2.987879838180749,0.8259294463599216,13.492057036677995,-12.139920500432112,2.878623449123012,1.9897304236200286,-3.236751183672101,-2.54167805411315
10,167,64,103,38.32335329341318,-1.437311156109049,-1.4634146341463428,3.9156149601629004,-4.763401170103269,0.5107702214255734,26.98412945494859,-14.38595930090717,3.891496620859324,2.672604055120509,-5.049261398760442,-4.2152128783776055
20,164,52,111,31.70731707317073,-1.435212500653058,-3.424724625197373,9.90048406837848,-6.758558753718759,0.6862505421082177,43.49206003295125,-20.868744779122007,6.722279170486715,3.914249196478836,-7.501442995032938,-6.480585061656008
40,148,57,91,38.513513513513516,-0.6947463382774639,-2.2785146117207997,9.260869429991773,-6.930681489830722,0.8369688286423167,50.529901589704764,-24.817714302138285,8.857733403847641,5.278174936878233,-9.520628794605782,-9.183136565300115
50,142,71,71,50.0,1.3906235924544796,0.06371937185156162,11.106972235111545,-8.325725050202587,1.3340546520739698,56.94134461095515,-32.432432432432435,10.735163614492325,7.394957983193273,-10.185840681275103,-9.422244391912628
60,126,55,71,43.65079365079365,1.5570506102193098,-1.3402366797673149,14.736234658557239,-8.652176469479084,1.3193666455636361,49.7348542971868,-35.47297297297297,12.761398247327778,7.792455112941832,-11.062310022688466,-10.011358207189886
