holding_days,trades,wins,losses,win_rate_pct,average_return_pct,median_return_pct,average_win_pct,average_loss_pct,profit_factor,best_return_pct,worst_return_pct,average_mfe_pct,median_mfe_pct,average_mae_pct,median_mae_pct
5,189,87,102,46.03174603174603,-0.4252247685459795,-0.2731561956791695,2.7788495140123595,-3.1581116566104455,0.7505102515154007,13.492057036677995,-14.479638009049777,2.892974665924733,1.9897304236200286,-3.4225263021394023,-2.5637089346024045
10,188,77,111,40.95744680851064,-1.3696457785913634,-1.180120689305364,3.844374799105767,-4.986578972129014,0.5347992219194788,26.98412945494859,-17.948717948717952,3.9459490170014453,2.75908819090418,-5.102657061397047,-4.028495361934736
20,184,64,119,34.78260869565217,-1.233853364952547,-3.1223816459688414,9.232318742452291,-6.873087551833741,0.7224236023131843,43.49206003295125,-20.868744779122007,6.69257815303459,4.012291412074265,-7.37129814596093,-6.368907955248221
40,167,65,102,38.92215568862276,-0.7521178436620651,-2.1584084084084076,9.083998592646935,-7.020231258957017,0.824591444218201,50.529901589704764,-24.817714302138285,8.745418504881389,5.278174936878233,-9.764166347188176,-9.22921209197729
50,165,83,82,50.303030303030305,1.5121555300526706,0.1886834593854303,11.288809876542269,-8.383726308467288,1.3629355097303766,56.94134461095515,-32.432432432432435,10.756978278144956,7.394957983193273,-10.317631341789644,-9.318830224479358
60,161,80,81,49.68944099378882,2.423583917999933,-0.13241525423728362,13.602737200069484,-8.61755512601938,1.5590039142707448,49.7348542971868,-35.47297297297297,12.9758686678156,8.69951176209498,-10.626139949197599,-9.318830224479358
