score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,price_date,bar_is_current,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings
1,False,40.43545878693624,False,True,False,True,0.30131062038878687,2907.0,2907.0,327734795.0,327.734795,4180.0,0.6954545454545454,-0.30454545454545456,-0.1383900340224975,121.11410626910246,4.1662919253217225,-0.12833583208395805,-0.30454545454545456,22.71262881237016,17.63729318228469,37.35656707451355,fund_small_mcap,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,6844.T,2026-09-08,True,,2907.0,5.2958536,0.40277874,548.92,7217.362,29595781120.0,,1754289000.0,1754634600.0,True,,,False,1754289000.0,2025-08-04,-286.0
0,False,33.777777777777786,False,True,False,False,0.4330085492186591,1180.0,1180.0,307438185.0,307.438185,1657.1732177734375,0.7120559198907626,-0.3948863355299099,-0.09038487093168146,32.68820198276628,2.7701866087090066,-0.11544227886056968,-0.16173181412024573,30.634121139376376,10.498176323233743,37.45820052030614,earnings_blackout,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,7915.T,2026-09-08,True,,1180.0,55.765594,0.6272525,21.16,1881.22,55947870208.0,1785997800.0,1789108200.0,1789108200.0,True,,,True,1789108200.0,2026-09-11,3.0
2,False,45.533141210374644,False,False,True,False,0.48861382548474136,1596.0,1596.0,266777400.0,266.7774,2194.558349609375,0.7272533903161351,-0.4096118362516744,-0.10046970235823172,39.19476942447811,2.455812620581335,-0.09111617312072895,-0.09111617312072895,28.510871112626422,17.308898066960772,22.642513246105064,fund_neg_eps,5,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear,True,True,True,False,True,False,True,False,False,2168.T,2026-09-08,True,,1596.0,-17.715617715617714,0.46981966,-90.09,3397.048,59614474240.0,,1752129000.0,1752474600.0,True,,,False,1752129000.0,2025-07-10,-303.0
1,False,25.203252032520325,False,True,False,False,0.40930436008329385,624.0,624.0,265656920.0,265.65692,988.0,0.631578947368421,-0.368421052631579,-0.03473093346977629,41.162328313331074,6.596526973290236,-0.30434782608695654,-0.368421052631579,40.803330735846664,9.80793401978519,40.838881339324736,fund_small_mcap,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,7600.T,2026-09-08,True,,624.0,62.58776,0.6629553,9.97,941.24,16444606464.0,,1753682400.0,1754028000.0,True,,,False,1753682400.0,2025-07-28,-291.0
2,False,42.325581395348834,False,True,False,True,0.5931940019846179,2400.0,2400.0,249840030.0,249.84003,3928.448486328125,0.6109282095342561,-0.4908931587214532,-0.14613326827509976,91.5210361439308,3.8133765059971165,-0.10880059413293719,-0.10880059413293719,24.795673774477002,25.06203394640844,27.66047212528944,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,7279.T,2026-09-08,True,,2400.0,2.142857,0.40898317,1120.0,5868.212,88398856192.0,,1757312100.0,1757744100.0,True,,,True,1757312100.0,2025-09-08,-261.0
0,False,11.578947368421055,False,False,True,False,0.3758296902866935,1108.0,1108.0,244807725.0,244.807725,1650.1507568359375,0.6714538022722977,-0.4303550774946211,-0.1141887798599367,39.34508909016659,3.5510008204121473,-0.12961508248232523,-0.12961508248232523,20.163061212344118,23.373546438739698,27.611038272945244,,5,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear,True,True,True,False,True,False,True,False,False,9467.T,2026-09-08,True,,1108.0,13.902134,2.054698,79.7,539.252,32199780352.0,,1754546400.0,1754978400.0,True,,,True,1754546400.0,2025-08-07,-283.0
1,False,32.467532467532465,False,False,True,True,0.4837554949011745,392.0,392.0,133704765.0,133.704765,650.0,0.6030769230769231,-0.7837888355164497,-0.07086987437781456,14.014177935646858,3.5750453917466474,-0.09259259259259256,-0.09259259259259256,25.636805386311323,17.271047958496652,22.932960246081016,fund_low_adv20,5,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear,True,True,True,False,True,False,True,False,False,7071.T,2026-09-08,True,,392.0,13.346952,0.99696076,29.37,393.195,38457061376.0,,1754463600.0,1754982000.0,True,,,False,1754463600.0,2025-08-06,-284.0
3,False,46.49122807017544,False,True,False,False,0.49666265334333115,817.0,817.0,98168400.0,98.1684,935.8517456054688,0.8730015238379717,-0.2488126422789546,-0.0050300092495884074,15.348022058010597,1.878582871237527,-0.06414662084765177,-0.06414662084765177,40.34005924778479,19.79474618455806,25.628520132923104,fund_low_adv20,5,trend_break;cross_sma25_down;macd_sell_like;di_bear;vol_distribution,True,True,True,False,False,False,True,True,False,4318.T,2026-09-08,True,,817.0,11.028618,2.2578855,74.08,361.843,45397504000.0,,1753768800.0,1754287200.0,True,,,False,1753768800.0,2025-07-29,-290.0
2,False,38.83495145631068,False,True,False,True,0.4422835624529231,4185.0,4185.0,80768800.0,80.7688,5940.0,0.7045454545454546,-0.33333333333333337,-0.08325950704573959,141.13319943544403,3.3723584094490806,-0.11240721102863205,-0.15369059656218398,25.01590726865806,11.419808984853917,26.09865215639749,"fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,4229.T,2026-09-08,True,,4185.0,14.072903,0.48480526,297.38,8632.332,27771447296.0,,1753756200.0,1754274600.0,True,,,False,1753756200.0,2025-07-29,-290.0
1,False,47.017543859649116,False,False,True,False,0.588757932327099,1530.0,1530.0,69168875.0,69.168875,1935.302734375,0.7905739876371893,-0.3980269963416173,-0.036135107384450915,41.39335175447749,2.7054478270900324,-0.08711217183770881,-0.08711217183770881,37.80113088156379,22.139904038739473,24.138526857918944,fund_low_adv20,5,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear,True,True,True,False,True,False,True,False,False,9629.T,2026-09-08,True,,1530.0,19.010933,1.7733785,80.48,862.76,30679455744.0,,1753164000.0,1753682400.0,True,,,False,1753164000.0,2025-07-22,-295.0
6,True,41.17647058823529,False,True,False,True,0.5024703866774075,375.0,375.0,63426260.0,63.42626,460.9591369628906,0.8135211343694209,-0.4424668492454903,0.11780491409309013,17.98829256607417,4.796878017619778,-0.12587412587412583,-0.14578587699316625,37.48515009243869,20.75345458325123,24.39097213837736,"fund_low_adv20,fund_small_mcap",5,cross_sma25_down;macd_sell_like;trailing_stop;di_bear;vol_distribution,False,True,True,False,True,False,True,True,False,1447.T,2026-09-08,True,,375.0,19.86229,8.399785,18.88,44.644,9132097536.0,,1747292400.0,1747292400.0,True,,,False,1747292400.0,2025-05-15,-343.0
1,False,13.235294117647058,False,True,False,False,0.4969287683755555,4215.0,4215.0,40233175.0,40.233175,4764.8544921875,0.8846020391411644,-0.11539796085883558,-0.06881527971915202,40.21324008300848,0.9540507730251122,-0.05810055865921793,-0.06020066889632103,34.589287847346725,9.5667754940636,44.616440056324855,fund_low_adv20,5,trend_break;macd_sell_like;di_bear;vol_distribution;natr_spike,True,False,True,False,False,False,True,True,True,9661.T,2026-09-08,True,,4215.0,179.05692,4.6026034,23.54,915.786,51084300288.0,,1744614000.0,1744614000.0,True,,,False,1744614000.0,2025-04-14,-366.0
3,True,29.411764705882348,False,True,False,False,0.48574898714053355,7230.0,7230.0,33110500.0,33.1105,7730.0,0.9353169469598965,-0.17281880408385464,0.1879069570903522,150.46757369639198,2.081155929410677,-0.05613577023498695,-0.06468305304010347,20.137013716819055,17.912656248688823,23.573084524397355,"fund_low_adv20,fund_small_mcap",5,cross_sma25_down;macd_sell_like;ext_dev200;di_bear;vol_distribution;natr_spike,False,True,True,False,False,True,True,True,True,5644.T,2026-09-08,True,,7230.0,7.6986966,0.7926501,939.12,9121.301,20696887296.0,,1747112400.0,1747112400.0,True,,,False,1747112400.0,2025-05-13,-345.0
4,False,47.73413897280967,False,True,False,False,0.535735089473143,1365.0,1365.0,14864175.0,14.864175,1631.592041015625,0.8366061893451759,-0.24000609905639692,-0.017248290969806845,40.33733533312715,2.955116141621037,-0.08080808080808077,-0.08080808080808077,17.48205586810553,20.47371952398032,28.524705381761372,"fund_low_adv20,fund_small_mcap",5,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;vol_distribution,True,True,True,False,True,False,False,True,False,7050.T,2026-09-08,True,,1365.0,9.766744,1.238775,139.76,1101.895,12227943424.0,,1749812340.0,1749812340.0,True,,,False,1749812340.0,2025-06-13,-322.0
0,False,20.0,False,True,False,True,0.3428694500375404,27.0,27.0,10890370.0,10.89037,70.0,0.38571428571428573,-0.6842105263157895,-0.33709796219003185,1.3891363551333167,5.1449494634567285,-0.12903225806451613,-0.2702702702702703,42.73012092088307,3.4894043696369814,24.853671055163346,"fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,9704.T,2026-09-08,True,,27.0,7.6056337,1.2473437,3.55,21.646,7201003008.0,,1754985600.0,1755504000.0,True,,,False,1754985600.0,2025-08-12,-280.0
0,False,21.56133828996282,False,True,False,True,0.4774894793222217,1223.0,1223.0,10322360.0,10.32236,1704.98779296875,0.7173071883819733,-0.3255083674249638,-0.17420923800045462,37.107370071687704,3.03412674339229,-0.12642857142857145,-0.12642857142857145,29.901229099835138,10.928594178463584,31.00248321627774,"fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,9709.T,2026-09-08,True,,1223.0,9.227404,1.3354517,132.54,915.795,18143897600.0,,1747220340.0,1747220340.0,True,,,False,1747220340.0,2025-05-14,-344.0
1,False,24.409448818897644,False,True,False,True,0.4713140474371212,689.0,689.0,8622905.0,8.622905,975.0,0.7066666666666667,-0.29333333333333333,-0.10090728846963148,23.581200853105955,3.422525522947163,-0.1278481012658228,-0.2591397849462366,24.0997793609023,11.298640175807495,39.319320615885744,"fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,3566.T,2026-09-08,True,,689.0,13.459661,1.7064508,51.19,403.762,6967443456.0,,1753855200.0,1754287200.0,True,,,False,1753855200.0,2025-07-30,-289.0
0,False,27.08333333333333,False,True,False,True,0.23682351767547086,319.0,319.0,2342670.0,2.34267,678.0,0.47050147492625366,-0.5294985250737463,-0.25174456107429777,8.593508772186913,2.693889897237277,-0.09375,-0.16052631578947374,27.233769621320715,8.169380813543818,27.583932425076352,"fund_low_adv20,fund_small_mcap",5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,6190.T,2026-09-08,True,,319.0,10.367241,0.88748676,30.77,359.442,1298392576.0,,1747291200.0,1747291200.0,True,,,False,1747291200.0,2025-05-15,-343.0
4,True,50.270270270270274,False,True,False,True,0.3876957842308983,903.0,903.0,1279155355.0,1279.155355,1310.7259521484375,0.6889311976465213,-0.36054421579073503,0.11910931154308768,35.63203048478111,3.9459612939956936,-0.07574206755373591,-0.31106880235347867,8.574947161378004,21.754085139385023,27.093861370525836,earnings_blackout,2,macd_sell_like;vol_distribution;before_earnings,False,False,True,False,False,False,False,True,False,6966.T,2026-09-08,True,,903.0,52.22672,1.4033376,17.29,643.466,165022695424.0,1788935400.0,1788935400.0,1788935400.0,True,,,True,1788935400.0,2026-09-09,1.0
