score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings
2,False,41.75824175824176,False,False,True,False,0.47696115244603193,4285.0,4285.0,303508475.0,303.508475,5282.16650390625,0.8112201682455809,-0.21149778279046805,-0.09578522971600156,96.80638761903913,2.259192243151438,-0.055126791620727644,-0.16796116504854364,34.49959504251693,19.455477741436674,34.15493444029195,,2,trend_break;di_bear,True,False,False,False,False,False,True,False,False,1301.T,,4285.0,7.4389777,0.65809166,576.02,6511.251,50894155776.0,,1754274600.0,1754620200.0,True,,,True,1754274600.0,2025-08-04,-219.0
4,True,62.47582205029014,False,False,True,True,0.2674227008478794,4230.0,4230.0,975985968.5,975.9859685,4287.0,0.986703988803359,-0.11398467432950188,0.1434549369275122,65.95377451179256,1.5591908868036066,-0.013296011196641033,-0.013296011196641033,16.68612799262597,32.66103805146536,21.586771418807857,fund_small_mcap,0,,False,False,False,False,False,False,False,False,False,1305.T,,4230.0,18.70501,,226.14262,,,,,,True,,,False,,,
0,False,63.09281256646233,False,False,False,True,0.49599718367610246,418.6000061035156,418.6000061035156,7432183600.782852,7432.183600782852,4131.0,0.10133139823372443,-0.9100944096111149,-0.851968784684239,18.200264843620193,4.347889292462038,-0.012269895798093788,-0.892858969515353,68.37429398135062,15.947782251181359,60.58745520680664,fund_small_mcap,2,trend_break;di_bear,True,False,False,False,False,False,True,False,False,1306.T,,418.6,18.749638,,22.325766,,,,,,True,,,False,,,
4,True,63.5593220338983,False,False,True,True,0.2681096292374708,4135.0,4135.0,1446524475.35,1446.5244753499999,4180.0,0.9892344497607656,-0.11698482623592754,0.14300720080715368,64.98048437091063,1.5714748336375002,-0.010765550239234423,-0.010765550239234423,16.61522612966139,32.17864915913727,21.42257988498931,fund_small_mcap,0,,False,False,False,False,False,False,False,False,False,1308.T,,4135.0,18.695251,,221.17917,,,,,,True,,,False,,,
6,True,50.0,False,False,True,True,0.38435444461921786,54010.0,54010.0,7370241.0,7.370241,57490.0,0.9394677335188728,-0.45868945868945865,0.022159726414719527,936.5286316224106,1.7339911713060738,-0.04067495559502665,-0.04067495559502665,13.31067954558947,16.980466860948674,24.459966935203038,"fund_low_adv20,fund_small_mcap",2,cross_sma25_down;macd_sell_like,False,True,True,False,False,False,False,False,False,1309.T,,54010.0,13.669421,,3951.1548,,,,,,True,,,False,,,
5,True,66.45962732919256,False,False,True,True,0.2709492317235968,2066.0,2066.0,63626684.35,63.626684350000005,2090.0,0.9885167464114832,-0.10214250124564028,0.1331444759206799,32.68562211823947,1.5820727065943598,-0.011483253588516762,-0.011483253588516762,23.20062941693314,29.659742250738013,13.760181718196272,"fund_low_adv20,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1311.T,,2066.0,19.266808,,107.23105,,,,,,True,,,False,,,
5,True,71.12600058245398,False,False,True,True,0.21492546350841013,750.0,750.0,2223350.003051758,2.223350003051758,750.0,1.0,-0.09737164808473209,0.14364222739942778,7.5028157883654245,1.0003754384487231,0.0,0.0,26.77769588524542,58.13783359910973,22.618977842657394,"fund_low_adv20,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1319.T,,750.0,19.814642,,37.850796,,,,,,True,,,False,,,
4,True,71.72512526843235,False,False,True,True,0.33786324499575204,69500.0,69500.0,3099504595.0,3099.504595,71400.0,0.9733893557422969,-0.12551271534044295,0.2831246947963293,1527.4154933391765,2.1977201343009733,-0.026610644257703098,-0.026610644257703098,38.202809802698795,39.14476267367573,22.344261949239538,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1320.T,,69500.0,25.788965,,2694.9512,,,,,,True,,,False,,,
4,True,71.53179190751445,False,False,True,True,0.3378846244793863,69700.0,69700.0,26503737669.5,26503.7376695,71580.0,0.9737356803576418,-0.125,0.2821786367332222,1524.2311736290835,2.1868452993243666,-0.026264319642358203,-0.026264319642358203,38.29802430160017,39.19443833345777,22.36685061327138,fund_small_mcap,0,ext_dev200,False,False,False,False,False,True,False,False,False,1321.T,,69700.0,25.756016,,2706.1638,,,,,,True,,,False,,,
4,True,59.2741935483871,False,False,True,True,0.38832235305648205,12145.0,12145.0,8031014.25,8.03101425,12480.0,0.9731570512820513,-0.4462975778546713,0.10950124059504707,267.251298651092,2.200504723351931,-0.026842948717948678,-0.026842948717948678,17.76682592682288,18.014728105669402,16.7125323436556,"fund_low_adv20,fund_small_mcap",1,macd_sell_like,False,False,True,False,False,False,False,False,False,1322.T,,12145.0,16.135117,,752.70605,,,,,,True,,,False,,,
