score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings,signal_date,name,is_used,excluded_reason
8,True,51.85185185185185,True,False,True,True,0.2835943568610148,5610.0,5610.0,481712300.0,481.7123,6169.0400390625,0.9093797356602248,-0.2674962733103079,0.0677312828411109,112.99450373999956,2.01416227700534,-0.0226480836236934,-0.0523648648648649,15.659066269662969,19.57375238514521,18.886315503779297,,0,,False,False,False,False,False,False,False,False,False,9605.T,,5610.0,17.36197,1.2359052,323.12,4539.183,350553407488.0,1770964200.0,1770964200.0,1770964200.0,True,,,True,1770964200.0,2026-02-13,26.0,2026-01-08,,True,
8,True,49.265905383360526,True,False,True,True,0.4534883260047697,2570.5,2570.5,1797029832.5,1797.0298325,2968.369384765625,0.865963654386282,-0.1687355311425207,0.0052588321025921,51.174891161239984,1.9908535756171943,-0.0130543290458821,-0.0718541252933742,10.627552478573769,19.321500444130475,20.87383364352738,,0,,False,False,False,False,False,False,False,False,False,6417.T,,2570.5,9.933915,2.0386798,258.76,1260.865,507709030400.0,1770273000.0,1770273000.0,1770273000.0,True,,,True,1770273000.0,2026-02-05,14.0,2026-01-16,,True,
8,True,52.05479452054795,True,False,True,True,0.4943171369510917,888.0,888.0,261165185.0,261.165185,983.857177734375,0.9025700275368068,-0.1478171611811298,0.048031531190944,11.543891677966627,1.2999878015728183,-0.0089285714285713,-0.0533049040511727,21.759816663141542,19.51586959213217,19.64506771600826,,1,di_bear,False,False,False,False,False,False,True,False,False,7177.T,,888.0,11.147376,2.000009,79.66,443.998,104774590464.0,,1754289060.0,1754634660.0,True,,,True,1754289060.0,2025-08-04,-119.0,2026-01-16,,True,
8,True,35.07109004739337,True,False,True,False,0.5252777308121923,1584.0,1584.0,462673660.0,462.67366,1877.5758056640625,0.8436410371403191,-0.320282700489271,0.0311553392286738,27.004191985777545,1.704810100112219,-0.0382513661202186,-0.0632761679479597,20.8675008745466,18.76967599142277,25.88913231694129,,1,di_bear,False,False,False,False,False,False,True,False,False,7965.T,,1584.0,17.148424,1.1337682,92.37,1397.111,100576567296.0,1766644200.0,1766989800.0,1766989800.0,True,,,True,1766989800.0,2025-12-29,-14.0,2026-01-16,,True,
8,True,52.777777777777786,True,False,True,True,0.495994175018908,887.0,887.0,253431335.0,253.431335,983.857177734375,0.9015536198481392,-0.1478171611811298,0.0459614554080907,11.505042272397583,1.2970735369106634,-0.0100446428571429,-0.0543710021321961,20.53003752839314,20.04560896619064,18.30344636574828,,0,,False,False,False,False,False,False,False,False,False,7177.T,,887.0,11.136221,1.9977568,79.65,443.998,104656601088.0,,1754289060.0,1754634660.0,True,,,True,1754289060.0,2025-08-04,-120.0,2026-01-19,,True,
8,True,41.11111111111112,True,False,True,False,0.5257266266863001,1582.0,1582.0,466060200.0,466.0602,1877.5758056640625,0.8425758338105965,-0.320282700489271,0.0295513811521686,25.93246398679344,1.639220226725249,-0.0394656952034001,-0.0644589000591365,20.41135416830792,18.700165457362544,25.03342169667808,,1,di_bear,False,False,False,False,False,False,True,False,False,7965.T,,1582.0,17.130482,1.1323367,92.35,1397.111,100449574912.0,1766644200.0,1766989800.0,1766989800.0,True,,,True,1766989800.0,2025-12-29,-15.0,2026-01-19,,True,
8,True,53.98230088495575,True,False,True,True,0.4691659373942378,4925.0,4925.0,407414094.7070313,407.41409470703127,5614.82421875,0.8771423303963072,-0.1692844520817172,0.0898768248931622,81.85871058744863,1.6621057987299213,0.0,-0.1228576696036928,12.226449454665511,25.78359254944158,22.849259030886586,,0,,False,False,False,False,False,False,False,False,False,4221.T,,4925.0,12.725112,0.89500487,387.03,5502.763,55636037632.0,,1754546400.0,1754978400.0,True,,,True,1754546400.0,2025-08-07,-120.0,2026-01-22,,True,
8,True,47.47774480712167,True,False,True,True,0.5016611795687511,2122.0,2122.0,331325195.0,331.325195,2395.0,0.8860125260960334,-0.2319456244689889,0.0434378506623178,45.830365371687705,2.1597721664320315,-0.045434098065677,-0.1139874739039665,26.95919523177488,20.25173289210265,26.46715496781393,,1,di_bear,False,False,False,False,False,False,True,False,False,3034.T,,2122.0,10.608409,1.4645301,200.03,1448.929,79613329408.0,,1753943400.0,1754289000.0,True,,,True,1753943400.0,2025-07-31,-126.0,2026-01-23,,True,
8,True,52.33532934131737,False,False,True,False,0.3623998815613805,2817.0,2817.0,371341975.0,371.341975,3340.0,0.8434131736526946,-0.2080838323353293,0.0610269399900187,86.75595098939856,3.079728469627212,-0.0467005076142131,-0.0824104234527687,15.029904937243092,33.19550273716537,27.62570611238236,,0,,False,False,False,False,False,False,False,False,False,3922.T,,2817.0,21.845676,4.281721,128.95,657.913,38022172672.0,,1752040800.0,1752472800.0,True,,,True,1752040800.0,2025-07-09,-142.0,2026-01-23,,True,
8,True,48.5207100591716,False,False,True,False,0.5389827873497813,6530.0,6530.0,1750508200.0,1750.5082,7180.0,0.9094707520891364,-0.2068452380952381,0.1145246629117597,180.6207849965525,2.766015084173852,-0.0297176820208023,-0.0905292479108634,14.328138509987376,23.69948473086389,24.722674945507283,,0,,False,False,False,False,False,False,False,False,False,7564.T,,6530.0,28.69699,3.8211,227.55,1708.932,532933935104.0,1770705000.0,1770705000.0,1770705000.0,True,,,True,1770705000.0,2026-02-10,12.0,2026-01-23,,True,
8,True,50.125313283208015,False,False,True,True,0.4402442917014814,2147.0,2147.0,505779110.0,505.77911,2548.0,0.8426216640502355,-0.2252747252747252,0.08084311081248,54.874284169161584,2.555858601265095,-0.0608048993875766,-0.0608048993875766,26.546021867084427,24.730645566160103,22.389539091956586,,1,macd_sell_like,False,False,True,False,False,False,False,False,False,8057.T,,2147.0,10.762444,1.4954056,199.49,1435.731,105892184064.0,,1756706400.0,1757052000.0,True,,,True,1756706400.0,2025-09-01,-104.0,2026-01-23,,True,
8,True,48.10126582278482,True,False,True,True,0.5073004033656645,879.0,879.0,235740840.0,235.74084,983.857177734375,0.8934223583387988,-0.1478171611811298,0.0305778510919456,11.098081604566136,1.2625803873226549,-0.0189732142857143,-0.0628997867803837,19.026772278991476,15.590087073185966,23.28909514666468,,0,,False,False,False,False,False,False,False,False,False,7177.T,,879.0,11.038553,1.9797387,79.63,443.998,103712686080.0,,1754289060.0,1754634660.0,True,,,True,1754289060.0,2025-08-04,-127.0,2026-01-28,,True,
8,True,54.406130268199234,True,False,True,True,0.5052292220162364,2121.0,2121.0,321212130.0,321.21213,2395.0,0.8855949895615867,-0.2319456244689889,0.0394081700509407,46.34919388117682,2.1852519510220096,-0.0084151472650771,-0.1144050104384133,21.877104140863164,18.9174460857136,25.6422755730622,,1,di_bear,False,False,False,False,False,False,True,False,False,3034.T,,2121.0,10.599171,1.4638399,200.11,1448.929,79575810048.0,,1753943400.0,1754289000.0,True,,,True,1753943400.0,2025-07-31,-131.0,2026-01-30,,True,
8,True,50.4424778761062,False,False,True,True,0.2881440196688576,1511.0,1511.0,219483155.0,219.483155,1702.7430419921875,0.8873916749248022,-0.1842496908916623,0.0338541537543515,32.277478131369826,2.136166653300452,-0.0363520408163264,-0.0496855345911949,17.584766491184123,20.62849007759765,22.018187577482657,,0,,False,False,False,False,False,False,False,False,False,4914.T,,1511.0,10.649095,0.8855584,141.89,1706.268,147316670464.0,1770964200.0,1770964200.0,1770964200.0,True,,,True,1770964200.0,2026-02-13,8.0,2026-02-03,,True,
8,True,40.930388219544845,False,False,True,True,0.3601434657320576,8822.0,8822.0,10185127770.0,10185.12777,10375.0,0.8503132530120482,-0.4337551409169335,0.0588595128480764,364.11450120556094,4.12734642037589,-0.1049107142857143,-0.1363680861478218,15.535305327489196,23.387007257897785,23.996478072417048,,1,trailing_stop,False,False,False,False,True,False,False,False,False,5631.T,,8822.0,29.415491,3.2208388,299.91,2739.038,649395306496.0,1770618600.0,1770618600.0,1770618600.0,True,,,True,1770618600.0,2026-02-09,4.0,2026-02-03,,True,
8,True,48.49254533650121,False,False,True,True,0.4284628707306284,751.0,751.0,1166206089.078064,1166.206089078064,910.0997924804688,0.8251842338664382,-0.6927723129717747,0.01723292610758,21.908206226107044,2.9172045574044,-0.0400271380477317,-0.1187316606612558,15.526478638576371,17.074498787327556,24.242110996041827,,0,,False,False,False,False,False,False,False,False,False,6966.T,,751.0,14.696673,1.2078441,51.1,621.769,137244999680.0,1765434600.0,1773124200.0,1773124200.0,True,,,True,1773124200.0,2026-03-10,25.0,2026-02-03,,True,
8,True,51.086956521739125,False,False,True,True,0.5101705573643506,3175.0,3175.0,261405025.0,261.405025,3745.7373046875,0.8476301837896463,-0.4647598009604855,0.0666355232190325,103.43795787010122,3.2578884368535816,-0.0349544072948327,-0.085014409221902,12.954942444302995,20.50159125817076,17.157759802469112,,0,,False,False,False,False,False,False,False,False,False,7717.T,,3175.0,38.961838,0.90480745,81.49,3509.034,30014271488.0,,1754546400.0,1754978400.0,True,,,True,1754546400.0,2025-08-07,-128.0,2026-02-03,,True,
8,True,51.333333333333336,True,False,True,True,0.5263316646712708,1565.0,1565.0,254621095.0,254.621095,1877.5758056640625,0.8335216055079542,-0.320282700489271,0.010157540926921,25.35073464857313,1.6198552491101044,-0.0151038388923852,-0.0745121230041395,21.56441169086588,23.02331254701744,27.736129677873038,,2,cross_sma25_down;di_bear,False,True,False,False,False,False,True,False,False,7965.T,,1565.0,16.95558,1.1201687,92.3,1397.111,99370156032.0,1766644200.0,1766989800.0,1766989800.0,True,,,True,1766989800.0,2025-12-29,-26.0,2026-02-03,,True,
8,True,48.93617021276596,False,False,True,True,0.44771666219854,4865.0,4865.0,279677025.0,279.677025,5614.82421875,0.866456332462545,-0.1692844520817172,0.0633678016641288,92.19574709493034,1.895082160224673,-0.0161779575328614,-0.0488899283339736,12.730069214686536,28.914532762512223,23.569923585258216,,0,,False,False,False,False,False,False,False,False,False,4221.T,,4865.0,12.574959,0.8841013,386.88,5502.763,54958235648.0,,1754546400.0,1754978400.0,True,,,True,1754546400.0,2025-08-07,-129.0,2026-02-04,,True,
8,True,50.34013605442177,True,False,True,True,0.5251395089323095,1580.0,1580.0,249485495.0,249.485495,1877.5758056640625,0.8415106304808739,-0.320282700489271,0.0188356674918619,25.682825030817902,1.6254952551150572,-0.0056639395846443,-0.0656416321703133,21.01809874924773,21.102352929669703,27.925016635770035,,1,di_bear,False,False,False,False,False,False,True,False,False,7965.T,,1580.0,17.110678,1.1309052,92.34,1397.111,100322590720.0,1766644200.0,1766989800.0,1766989800.0,True,,,True,1766989800.0,2025-12-29,-27.0,2026-02-04,,True,
8,True,46.75925925925927,True,False,True,True,0.4057229661490382,1631.0,1631.0,334208120.0,334.20812,1952.0,0.8355532786885246,-0.3524699120835735,0.0636684332681354,42.676794220549226,2.6166029565020987,-0.0186522262334536,-0.1644467213114754,19.81629023834938,17.36350551191767,21.767783562039885,,1,cross_sma25_down,False,True,False,False,False,False,False,False,False,2395.T,,1631.0,14.353604,1.7928752,113.63,909.712,67901526016.0,,1754274600.0,1754620200.0,True,,,True,1754274600.0,2025-08-04,-133.0,2026-02-05,,True,
8,True,51.35135135135135,True,False,True,True,0.4452740749529439,4925.0,4925.0,276512775.0,276.512775,5614.82421875,0.8771423303963072,-0.1692844520817172,0.0748459636900336,92.3960508738639,1.8760619466774395,-0.0040444893832153,-0.0371598966176404,13.19057218212605,32.20248975954229,21.83891056388976,,0,,False,False,False,False,False,False,False,False,False,4221.T,,4925.0,12.559931,0.89500487,392.12,5502.763,55636037632.0,,1754546400.0,1754978400.0,True,,,True,1754546400.0,2025-08-07,-130.0,2026-02-05,,True,
8,True,42.578125,False,False,True,True,0.2817604131317055,2539.0,2539.0,564610240.0,564.61024,2909.0,0.8728085252664146,-0.274422825278748,0.0292382057961275,58.86720267368989,2.318519207313505,-0.037163443306788,-0.037163443306788,17.336808677285273,26.62483522291655,26.92440941311872,,0,,False,False,False,False,False,False,False,False,False,6807.T,,2539.0,20.9264,1.2250851,121.33,2072.509,171157438464.0,1769581800.0,1776839400.0,1776839400.0,True,,,True,1776839400.0,2026-04-22,54.0,2026-02-05,,True,
8,True,50.34013605442177,True,False,True,True,0.5236607211252775,1585.0,1585.0,245151695.0,245.151695,1877.5758056640625,0.8441736388051805,-0.3202827704771127,0.0209634425578997,25.134051814330917,1.5857445939640953,-0.0025173064820641,-0.0626848018923713,19.955046481450797,23.433162523092367,26.49653255836604,,0,,False,False,False,False,False,False,False,False,False,7965.T,,1585.0,17.002789,1.1344839,93.22,1397.111,100640063488.0,1766644200.0,1766989800.0,1766989800.0,True,,,True,1766989800.0,2025-12-29,-28.0,2026-02-05,,True,
8,True,53.43035343035344,True,False,True,True,0.3264420974105906,6514.0,6514.0,831563345.0,831.563345,7170.0,0.9085076708507672,-0.296290451064958,0.0569814887835973,155.8014092670427,2.391793203362645,-0.0274708868318901,-0.0914923291492328,16.37426637649831,23.17665462919906,22.570773334977595,,0,,False,False,False,False,False,False,False,False,False,9627.T,,6514.0,24.509916,1.5787637,265.77,4126.013,228466982912.0,1765434600.0,1773124200.0,1773124200.0,True,,,True,1773124200.0,2026-03-10,23.0,2026-02-05,,True,
