score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings
1,False,10.569105691056905,False,True,False,False,0.1798629770478799,10570.0,10570.0,2099982500.0,2099.9825,11690.0,0.9041916167664671,-0.24000495333363037,-0.0693538304410225,135.54974303191725,1.2824005963284506,-0.0911435941530524,-0.09580838323353291,28.413381171642,9.225156171726988,69.40003673070842,,6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,6135.T,,10570.0,16.084608,0.98332435,657.15,10749.251,247251746816.0,,1753768800.0,1754287200.0,True,,,True,1753768800.0,2025-07-29,-192.0
0,False,14.345991561181435,False,True,False,False,0.3364573343555163,182.0,182.0,113551385.0,113.551385,730.0,0.2493150684931507,-0.7506849315068493,-0.6487429431285101,22.11163948039509,12.149252461755545,-0.5,-0.5593220338983051,33.47178711288618,11.148647428374945,55.41177470379045,"fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,2901.T,,182.0,8.360128,0.8482515,21.77,214.559,5162902528.0,,1747294200.0,1747294200.0,True,,,False,1747294200.0,2025-05-15,-245.0
1,False,37.83783783783784,False,True,False,False,0.3360382371938061,95.0,95.0,62015585.0,62.015585,330.0,0.2878787878787879,-0.7121212121212122,-0.4812428329601922,10.207773874174176,10.74502513070966,-0.40993788819875776,-0.4836956521739131,22.32724570051884,16.243001159961313,35.20683164843455,"fund_neg_eps,fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,7709.T,,95.0,-4.534606205250597,7.1866255,-20.95,13.219,1307939968.0,,1753942500.0,1754288100.0,True,,,False,1753942500.0,2025-07-31,-190.0
1,False,29.941860465116278,False,False,True,False,0.4849839525103298,514.0,514.0,56550810.0,56.55081,1479.0,0.3475321162947938,-0.6977687626774848,-0.3824601873043907,38.26426052453538,7.444408662360969,-0.2116564417177914,-0.2116564417177914,23.964349372481536,22.265037926548754,24.502187902561964,"fund_low_adv20,fund_small_mcap",6,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear;natr_spike,True,True,True,False,True,False,True,False,True,5134.T,,514.0,15.082159,2.2353463,34.08,229.942,2027461632.0,,1749725940.0,1749725940.0,True,,,False,1749725940.0,2025-06-12,-225.0
1,False,17.50227894257064,False,True,False,False,0.5548262426522483,1584.5,1584.5,15179249565.0,15179.249565,2868.67919921875,0.552344786559445,-0.44765521344055503,-0.22271945501659984,51.515527531043965,3.251216631810916,-0.19178780923233874,-0.33789953732320366,38.58187173745893,11.561240986520724,44.486130150838804,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,8267.T,,1584.5,59.10108,3.5927098,26.81,441.032,4383716933632.0,1775716200.0,1775716200.0,1775716200.0,True,,,True,1775716200.0,2026-04-09,-10.0
0,False,25.417075564278704,False,True,False,False,0.523454905087514,2482.0,2482.0,11219934765.0,11219.934765,3698.091552734375,0.671156991276975,-0.36338467410526853,-0.1897333513971362,59.82243387016587,2.4102511631815418,-0.09349890430971508,-0.12317855914130027,20.88417445950169,15.945836965282318,39.97149443344073,earnings_blackout,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,4661.T,,2482.0,32.079617,3.783531,77.37,656.001,4069277564928.0,1777357800.0,1777357800.0,1777357800.0,True,,,True,1777357800.0,2026-04-28,3.0
2,False,29.98251748251748,False,True,False,False,0.33110376397068236,2714.0,2714.0,8529487897.5,8529.4878975,3334.552001953125,0.8139024367922129,-0.18609756320778714,-0.06853812699882578,61.956432148574606,2.282845694494274,-0.09048257372654156,-0.18609756320778714,22.166818847181897,18.992024830200585,42.484984273446145,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,9202.T,,2714.0,9.56948,0.87863594,283.61,3088.879,1242612105216.0,1777530600.0,1777530600.0,1777530600.0,True,,,True,1777530600.0,2026-04-30,5.0
1,False,22.727272727272734,False,True,False,True,0.4896928838942447,1695.0,1695.0,6409542300.0,6409.5423,2309.126953125,0.7340436599668605,-0.3218786096169993,-0.08626645610056494,39.553448250403896,2.3335367699353333,-0.09936238044633372,-0.2659563400331395,34.59084036987434,13.006666438227885,44.01026803633012,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,5411.T,,1695.0,14.815138,0.4221735,114.41,4014.937,1078265053184.0,1778221800.0,1778221800.0,1778221800.0,True,,,True,1778221800.0,2026-05-08,11.0
1,False,58.177572425791645,True,True,False,False,0.3500803918416252,393.6000061035156,393.6000061035156,6007640721.336563,6007.640721336563,4131.0,0.09527959479630008,-0.9100944096111149,-0.8761078084743954,92.36904963901257,23.467745987463168,-0.8971518144490421,-0.9047204052036999,66.77822388185221,8.001720344950558,79.16869911303381,fund_small_mcap,5,trend_break;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,False,False,True,False,True,True,True,1306.T,,393.6,17.797018,,22.116064,,,,,,True,,,False,,,
2,False,11.029411764705884,False,True,False,True,0.4038496838824711,1705.0,1705.0,3582790820.0,3582.79082,1982.0638427734375,0.8602144710002121,-0.17308368622317838,-0.049914469559158015,36.51888887338416,2.141870315154496,-0.11382536382536379,-0.1397855289997879,20.477565911896086,13.37388518575972,44.72186198760735,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,9005.T,,1705.0,11.332669,1.1107621,150.45,1534.982,972281544704.0,1778567400.0,1778567400.0,1778567400.0,True,,,True,1778567400.0,2026-05-12,13.0
