score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,price_date,bar_is_current,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings,earn_date_raw_stale,earn_date_source,earn_date_lookup_error
4,False,29.545454545454547,False,False,True,True,0.5244027448810985,2994.0,2994.0,3408015.0,3.408015,3360.0,0.8910714285714286,-0.1859757768497426,-0.0238924651605572,17.32941357745949,0.5788047287060618,-0.0118811881188118,-0.0118811881188118,25.8675636939027,19.50744185804093,10.914158072460278,"fund_low_adv20,fund_small_mcap",1,trend_break,True,False,False,False,False,False,False,False,False,1383.T,2026-09-04,True,,2994.0,45.453163,2.290376,65.87,1307.209,4791465984.0,,,,True,,,False,,,,True,unknown_stale_rejected,
2,False,52.991452991453,False,False,True,False,0.6211563201265892,2207.0,2207.0,42731030.0,42.73103,3186.655517578125,0.6925756448495354,-0.3858765124737014,-0.1412530259865932,36.09726162677858,1.6355804996274843,-0.019111111111111,-0.019111111111111,29.849899898069605,26.13961873310781,17.375692015542686,"fund_low_adv20,fund_small_mcap",2,trend_break;macd_sell_like,True,False,True,False,False,False,False,False,False,1384.T,2026-09-04,True,,2207.0,4.85439,1.8855578,454.64,1170.476,18668654592.0,,,,True,,,False,,,,True,unknown_stale_rejected,
2,False,57.46606334841629,False,False,True,True,0.3203739156213427,1323.0,1323.0,5173560.0,5.17356,1655.7470703125,0.7990350843563936,-0.2390142053748633,-0.021953992954306,23.36712986166642,1.766222967624068,-0.0328947368421053,-0.1610653138871274,39.841510524284615,28.83541548301857,16.782929733869604,"fund_low_adv20,fund_small_mcap",1,trend_break,True,False,False,False,False,False,False,False,False,1401.T,2026-09-04,True,,1323.0,16.339384,2.3627994,80.97,559.929,9170906112.0,,,,True,,,False,,,,True,unknown_stale_rejected,
2,True,33.7945374021661,False,False,True,False,0.5179241750089522,2363.0,2363.0,1242083920.0,1242.08392,3075.020263671875,0.7684502206103666,-0.4410875685312844,0.1534658671312925,154.37359502992442,6.532949429958715,-0.1586212855728015,-0.1586212855728015,17.653578336953547,12.346341362703663,30.261564499143827,,2,macd_sell_like;trailing_stop,False,False,True,False,True,False,False,False,False,1407.T,2026-09-04,True,,2363.0,18.280985,2.6731224,129.26,883.985,93714579456.0,,,,True,,,True,,,,True,unknown_stale_rejected,
4,False,47.31182795698925,False,False,True,True,0.5437916318829407,1262.5,1262.5,1166393167.5,1166.3931675,1500.197021484375,0.8415561302413567,-0.1952971834591387,-0.0312254847417875,18.1489361830962,1.437539499651184,-0.03736179946626,-0.0668883961566888,9.808475741141908,23.37429338951008,22.634782380239184,,2,trend_break;macd_sell_like,True,False,True,False,False,False,False,False,False,1414.T,2026-09-04,True,,1262.5,16.555206,2.367846,76.26,533.185,253714055168.0,1786343400.0,1794205800.0,1794205800.0,True,,,True,1794205800.0,2026-11-09,46.0,False,,
4,False,50.08818342151675,False,False,True,False,0.5529979690812498,3553.0,3553.0,851960440.0,851.96044,4181.0,0.8497966993542215,-0.1812963405883759,-0.0315572682266728,67.5980373272396,1.9025622664576296,-0.0386904761904761,-0.0915366913832779,21.44396774183509,22.892255727565303,21.587767621639063,,1,trend_break,True,False,False,False,False,False,False,False,False,1417.T,2026-09-04,True,,3553.0,13.793238,1.1330564,257.59,3135.766,309413117952.0,1786084200.0,1794465000.0,1794465000.0,True,,,True,1794465000.0,2026-11-12,49.0,False,,
5,True,38.56732911914518,False,False,True,True,0.4922398765752599,580.0,580.0,36337680.0,36.33768,685.1124877929688,0.8465763072987041,-0.3125434358647658,0.0616999878125472,10.232114807749214,1.7641577254740026,-0.0284757118927972,-0.0284757118927972,27.28267606506321,16.3375176963922,21.2335348584921,"fund_low_adv20,fund_small_mcap",2,macd_sell_like;di_bear,False,False,True,False,False,False,True,False,False,1418.T,2026-09-04,True,,580.0,10.845176,1.8427498,53.48,314.747,8847290368.0,,,,True,,,False,,,,True,unknown_stale_rejected,
1,False,38.01295896328293,False,False,True,True,0.4590130595582851,2863.0,2863.0,503060570.0,503.06057,3935.4453125,0.727490734252199,-0.3124030992363078,-0.1517201836132007,58.74601441721074,2.051904101194926,-0.0749596122778675,-0.0808988764044943,17.081639482659035,17.893161817614157,29.36675909996236,,2,trend_break;macd_sell_like,True,False,True,False,False,False,False,False,False,1419.T,2026-09-04,True,,2863.0,68.020905,2.7972999,42.09,1023.487,82993094656.0,,,,True,,,True,,,,True,unknown_stale_rejected,
3,False,55.0,False,False,True,True,0.5866925237322747,633.0,633.0,9414575.0,9.414575,712.644775390625,0.8882405678944759,-0.1524529178384464,-0.0352621640217649,4.6898838738786015,0.7408979263631282,-0.0062794348508634,-0.0231481481481481,12.324701372836264,14.286826800611127,16.78314399578343,"fund_low_adv20,fund_small_mcap",1,trend_break,True,False,False,False,False,False,False,False,False,1420.T,2026-09-04,True,,633.0,5.1517863,0.48572373,122.87,1303.21,7850269184.0,,,,True,,,False,,,,True,unknown_stale_rejected,
4,False,49.29577464788732,False,False,True,True,0.5689796562510482,798.0,798.0,85451800.0,85.4518,925.0,0.8627027027027027,-0.2583783783783784,0.0221716193365399,12.802505205386073,1.6043239605746955,-0.0172413793103448,-0.0172413793103448,22.882400703458035,23.85691747344836,14.306394755198678,"fund_low_adv20,fund_small_mcap",2,trend_break;macd_sell_like,True,False,True,False,False,False,False,False,False,1429.T,2026-09-04,True,,798.0,13.550688,2.2753386,58.89,350.717,25663303680.0,,,,True,,,False,,,,True,unknown_stale_rejected,
