score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings
0,False,24.908424908424905,False,True,False,True,0.31296015844110114,1155.0,1155.0,691263570.0,691.26357,3140.0,0.3678343949044586,-0.6429936305732484,-0.2959141685843607,118.73417847237707,10.280015452153858,-0.29141104294478526,-0.33810888252148996,20.785752353258157,16.6755404496184,33.946494249169724,"fund_neg_eps,fund_small_mcap",6,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,True,True,False,True,False,True,True,False,4889.T,,1155.0,-49.274744027303754,4.633437,-23.44,249.275,15912307712.0,,1747204200.0,1747204200.0,True,,,False,1747204200.0,2025-05-14,-325.0
1,False,37.580993520518355,False,True,False,False,0.37549708285459443,629.0,629.0,23866540.0,23.86654,956.5651245117188,0.6575610838008282,-0.3790281656952432,-0.08038393008250233,43.94546202899348,6.986559941016451,-0.2770114942528735,-0.2770114942528735,45.938415786312206,18.804763291853266,29.987611412255315,"fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,3306.T,,629.0,5.092705,1.1367046,123.51,553.354,2771284736.0,,1747206000.0,1747206000.0,True,,,False,1747206000.0,2025-05-14,-325.0
2,False,38.1294964028777,False,False,False,False,0.5285507162504194,437.0,437.0,15661180.0,15.66118,675.0,0.6474074074074074,-0.4044444444444445,-0.11904041931256937,18.014137251322737,4.1222282039640135,-0.13465346534653466,-0.13465346534653466,40.93093635086211,17.882357700065224,34.014451119830454,"fund_low_adv20,fund_small_mcap",6,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear;natr_spike,True,True,True,False,True,False,True,False,True,3917.T,,437.0,5.3659134,1.1276721,81.44,387.524,3421353472.0,,1746763200.0,1746763200.0,True,,,False,1746763200.0,2025-05-09,-328.0
5,True,45.55555555555556,False,True,False,False,0.42285162877348736,1099.0,1099.0,10271635.0,10.271635,1252.0,0.8777955271565495,-0.12220447284345048,0.22656227566039822,54.81817473949436,4.9880049808457105,-0.12220447284345048,-0.12220447284345048,27.677416865468466,17.750809030305277,24.527217014205608,"fund_low_adv20,fund_small_mcap",6,cross_sma25_down;macd_sell_like;trailing_stop;ext_dev200;di_bear;vol_distribution;natr_spike,False,True,True,False,True,True,True,True,True,6549.T,,1099.0,9.846787,1.6882939,111.61,650.953,6067939328.0,,1747126800.0,1747126800.0,True,,,False,1747126800.0,2025-05-13,-326.0
0,False,13.72549019607844,False,True,False,False,0.22514852697637225,183.0,183.0,6076070.0,6.07607,254.51351928710938,0.7190187794840202,-0.28098122051597985,-0.15493142726655706,5.394621298926852,2.9478804912168592,-0.17194570135746612,-0.17194570135746612,27.001050363579857,3.798572670383899,70.05996312553776,"fund_neg_eps,fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,7135.T,,183.0,-148.78048780487805,1.8379214,-1.23,99.569,6829681664.0,,1747220340.0,1747220340.0,True,,,False,1747220340.0,2025-05-14,-325.0
1,False,31.493506493506487,False,True,False,True,0.3939502920495344,1460.0,1460.0,5605940.0,5.60594,2424.0,0.6023102310231023,-0.3976897689768977,-0.13110837512417983,88.44209325894754,6.057677620475858,-0.1969196919691969,-0.314875645236978,29.456283441625292,21.839594543314085,38.573904436763264,"fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,7477.T,,1460.0,31.492666,0.7572697,46.36,1927.979,2072646656.0,,1747292400.0,1747292400.0,True,,,False,1747292400.0,2025-05-15,-324.0
2,False,25.733634311512418,False,True,False,False,0.3074865995451765,2755.0,2755.0,4947925.0,4.947925,3115.906982421875,0.8841727354321226,-0.12834368441609978,-0.050995395449586645,48.5581397162572,1.7625459062162323,-0.08013355592654425,-0.08013355592654425,31.61296896920293,20.105777010870767,45.63027096179535,"fund_low_adv20,fund_small_mcap",6,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,True,True,False,True,False,True,True,False,9360.T,,2755.0,7.2568746,1.4352344,379.64,1919.547,7837815296.0,,1747206000.0,1747206000.0,True,,,False,1747206000.0,2025-05-14,-325.0
1,False,39.2156862745098,False,True,False,False,0.2700725251909895,299.0,299.0,2799285.0,2.799285,429.0,0.696969696969697,-0.3090909090909091,-0.08381976681834202,6.768292721867689,2.2636430507918694,-0.08841463414634143,-0.08841463414634143,28.336351633265984,20.58523350264935,33.77191648216783,"fund_neg_eps,fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,3998.T,,299.0,-490.1639344262295,0.85442734,-0.61,349.942,1886575744.0,,1753941600.0,1754287200.0,True,,,False,1753941600.0,2025-07-31,-269.0
2,False,33.90764989662301,False,True,False,False,0.3631199139449415,3198.0,3198.0,20678823475.0,20678.823475,3878.0,0.8246518824136153,-0.23302382928281262,-0.024742137267575015,132.30654563793968,4.137165279485293,-0.1753481175863847,-0.1753481175863847,35.218154854868175,17.13042384111215,39.25603996974605,,5,trend_break;macd_sell_like;trailing_stop;di_bear;natr_spike,True,False,True,False,True,False,True,False,True,4901.T,,3198.0,13.930999,0.98077977,229.56,3260.671,3824767467520.0,1785997800.0,1793860200.0,1793860200.0,True,,,True,1793860200.0,2026-11-05,61.0
1,False,26.702508960573468,False,True,False,False,0.4556257251507641,3684.0,3684.0,15461164985.0,15461.164985,5280.33544921875,0.6976829475000618,-0.30231705249993823,-0.100257955795503,120.04788499919094,3.2586288001951935,-0.13541422201361186,-0.15465810004589264,25.698442353769448,15.314764369585765,37.17916287947293,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,8802.T,,3684.0,20.268486,1.6293503,181.76,2261.024,4432327081984.0,1786084200.0,1786084200.0,1786084200.0,True,,,True,1786084200.0,2026-08-07,-3.0
1,False,42.34021521436293,False,True,False,False,0.4325165962699663,745.0,745.0,12495730213.249207,12495.730213249206,1056.0,0.7054924242424242,-0.3464015035918264,-0.12814358182816832,31.108475425095687,4.175634285247743,-0.15961646926113926,-0.15961646926113926,22.796764635984445,21.849128061060608,35.17875272558765,fund_neg_eps,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,4755.T,,745.0,-25.134952766531715,1.7970644,-29.64,414.565,1625579192320.0,1786343400.0,1786343400.0,1786343400.0,True,,,False,1786343400.0,2026-08-10,-2.0
1,False,16.99819168173599,False,True,False,True,0.46983750107521083,4868.0,4868.0,10776942830.0,10776.94283,7582.04150390625,0.6420434387614494,-0.3579565612385506,-0.17139369561605022,191.43369105828614,3.9324915993896083,-0.1482064741907262,-0.2182431347358278,30.48807270883517,9.09367491376817,36.718789543811226,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,1812.T,,4868.0,12.813561,1.6403391,379.91,2967.679,2243912269824.0,1785911400.0,1785911400.0,1785911400.0,True,,,True,1785911400.0,2026-08-05,-5.0
1,False,36.438582028029685,False,True,False,False,0.33148708582766095,1247.5,1247.5,7575807170.0,7575.80717,1809.812744140625,0.6892978315236504,-0.3214767638388435,-0.09947303833104737,61.44792997871669,4.925685769837009,-0.2084390862944162,-0.2084390862944162,19.39456826066326,21.067303903631096,37.52118884271533,,5,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;vol_distribution,True,True,True,False,True,False,False,True,False,4751.T,,1247.5,15.533558,3.0268033,80.31,412.151,632606097408.0,1786084200.0,1786084200.0,1786084200.0,True,,,True,1786084200.0,2026-08-07,-3.0
3,True,47.410358565737056,False,False,True,False,0.48395324660448796,4605.0,4605.0,1022571850.0,1022.57185,5950.0,0.7739495798319328,-0.2260504201680672,0.518472701774596,346.15067798868665,7.516844255997539,-0.2260504201680672,-0.2260504201680672,32.56809514443501,26.368382606570446,34.0610350509346,,5,cross_sma25_down;macd_sell_like;trailing_stop;ext_dev200;di_bear;natr_spike,False,True,True,False,True,True,True,False,True,6237.T,,4605.0,21.089993,2.429178,218.35,1895.703,102154297344.0,,1754550000.0,1754982000.0,True,,,True,1754550000.0,2025-08-07,-264.0
